Candidate,Party,Votes,State,Constituency,State-code,Constituency-code
JOLLE SHASHIKALA ANNASAHEB,Bharatiya Janata Party,78453,Karnataka,Nippani,S10,1
KAKASO PANDURANG PATIL,Indian National Congress,70083,Karnataka,Nippani,S10,1
KAMAT RAMESH ISHWAR,Bahujan Samaj Party,2326,Karnataka,Nippani,S10,1
ROHINI SHRIMANT DIXIT,All India Mahila Empowerment Party,1227,Karnataka,Nippani,S10,1
SHARAD RAMAGONDA PATIL,Independent,458,Karnataka,Nippani,S10,1
JAYARAM PARASHARAM MIRAJAKARKAKA,Independent,244,Karnataka,Nippani,S10,1
SAMBHAJI BAPUSO THORAVAT,Independent,236,Karnataka,Nippani,S10,1
VIJAYLAKSHMI APPASAHEB KURANE,Bharatiya Republican Paksha,151,Karnataka,Nippani,S10,1
SACHIN KALLAPPA MADHALE,Bahujan Mukti Party,122,Karnataka,Nippani,S10,1
ANIL SHIVAJI KAMATE,Independent,100,Karnataka,Nippani,S10,1
None of the Above,None of the Above,1281,Karnataka,Nippani,S10,1
GANESH PRAKASH HUKKERI,Indian National Congress,91052,Karnataka,Chikkodi-Sadalga,S10,2
ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,80596,Karnataka,Chikkodi-Sadalga,S10,2
SADASHIVAPPA MARUTI WALKE,Bahujan Samaj Party,2912,Karnataka,Chikkodi-Sadalga,S10,2
ANNAPURNA CHANNAPPA ASURKAR,All India Mahila Empowerment Party,793,Karnataka,Chikkodi-Sadalga,S10,2
SOMANATH GANGAYYA HIREMATH,Independent,733,Karnataka,Chikkodi-Sadalga,S10,2
SUNIL ANNASAB K.KHOT,Independent,282,Karnataka,Chikkodi-Sadalga,S10,2
MOHAN GURAPPA MOTANNAVAR,Independent,244,Karnataka,Chikkodi-Sadalga,S10,2
APPASAHEB SHRIPATI KURANE,Bharatiya Republican Paksha,198,Karnataka,Chikkodi-Sadalga,S10,2
DADA VASANT PATIL,Independent,147,Karnataka,Chikkodi-Sadalga,S10,2
JITENDRA SUBHASH NERLE,Independent,139,Karnataka,Chikkodi-Sadalga,S10,2
None of the Above,None of the Above,1361,Karnataka,Chikkodi-Sadalga,S10,2
MAHESH IRANAGOUDA KUMATHALLI,Indian National Congress,57006,Karnataka,Athani,S10,3
LAXMAN SANGAPPA SAVADI,Bharatiya Janata Party,55109,Karnataka,Athani,S10,3
GIRISH KEDAREPPA BUTALI,Janata Dal  (Secular),2436,Karnataka,Athani,S10,3
MAHAVEER DASHARATH MANOJI,All India Mahila Empowerment Party,682,Karnataka,Athani,S10,3
RAJESH BABU SHINGE,Independent,657,Karnataka,Athani,S10,3
NINGAPPA SUBHAS GURAV,Praja Parivartan Party,618,Karnataka,Athani,S10,3
SHIVAMALLAPPA BASAPPA KULALI,Independent,513,Karnataka,Athani,S10,3
ARJUN BHAGAVANT PATIL,Independent,408,Karnataka,Athani,S10,3
MEHABUB ASLAM SHAIKH,Bahujan Mukti Party,170,Karnataka,Athani,S10,3
VITTHAL NINGAPPA PUJARI,Namma Congress,149,Karnataka,Athani,S10,3
BASAPPA KALLAPPA HANCHINAL,Hindustan Janta Party,147,Karnataka,Athani,S10,3
None of the Above,None of the Above,633,Karnataka,Athani,S10,3
SHRIMANT BALASAHEB PATIL,Indian National Congress,50941,Karnataka,Kagwad,S10,4
BHARAMAGOUDA ALAGOUDA KAGE,Bharatiya Janata Party,27736,Karnataka,Kagwad,S10,4
KALLAPPA PARIS MAGENNAVAR,Janata Dal  (Secular),3369,Karnataka,Kagwad,S10,4
DIVAKAR RAMACHANDRA POTADAR,Sarva Janata Party,670,Karnataka,Kagwad,S10,4
GANAPATI BHUTALI MOLEKAR,Independent,480,Karnataka,Kagwad,S10,4
BHIMAGOUDA SHANKAR KHOT,All India Mahila Empowerment Party,373,Karnataka,Kagwad,S10,4
MURAGEPPA NINGAPPA DEVAREDDI,Independent,340,Karnataka,Kagwad,S10,4
SANJAY HONAKHANDE,Jana Samanyara Party (Karnataka),260,Karnataka,Kagwad,S10,4
SAROJANI-AKKA M ARAGE,Janahitha Paksha,172,Karnataka,Kagwad,S10,4
SACHIN ALAGURE,Bharatiya Republican Paksha,144,Karnataka,Kagwad,S10,4
BAHUSAB ASHOK NAIK URF DAVALE,Indian New Congress Party,132,Karnataka,Kagwad,S10,4
BALASAHEB RAVSAHEB RAO,Aam Aadmi Party,102,Karnataka,Kagwad,S10,4
NASIRKHAN GAJIMAMMAD PATHAN,Republican Party of India (A),95,Karnataka,Kagwad,S10,4
DR. RIZWAN  BALEKUNDARI,Bahujan Mukti Party,79,Karnataka,Kagwad,S10,4
None of the Above,None of the Above,446,Karnataka,Kagwad,S10,4
P.RAJEEV,Bharatiya Janata Party,61357,Karnataka,Kudachi,S10,5
AMIT SHAMA GHATAGE,Indian National Congress,48422,Karnataka,Kudachi,S10,5
SURESH  GURAPPA TALAWAR,Independent,6389,Karnataka,Kudachi,S10,5
AIHOLE RAJENDRA ANNAPPA,Janata Dal  (Secular),1209,Karnataka,Kudachi,S10,5
SANGEETA GAJENDRA KAMBLE,Independent,997,Karnataka,Kudachi,S10,5
SANJEEV BASAPPA KAMBALE,Independent,956,Karnataka,Kudachi,S10,5
RAMAPPA BHARAMAPPA BHAJANTRI,Independent,914,Karnataka,Kudachi,S10,5
RODKAR YOGESH PANDURANG,Independent,719,Karnataka,Kudachi,S10,5
ASHOK TAMMANNA GUPTE,Independent,648,Karnataka,Kudachi,S10,5
SADASHIV C. MANG,Ambedkar Samaj Party,566,Karnataka,Kudachi,S10,5
AJJAPPAGOL KIRAN MAHADEV,Janahitha Paksha,328,Karnataka,Kudachi,S10,5
PARSHURAM V. SHINDE,Republican Party of India (A),274,Karnataka,Kudachi,S10,5
ANNAPPA S. AIGALI,Indian New Congress Party,270,Karnataka,Kudachi,S10,5
K. NARASAPPA,Independent,223,Karnataka,Kudachi,S10,5
THAVARASING R. RATHOD,Shivsena,206,Karnataka,Kudachi,S10,5
ASODE JANGLU SATTYAPPA,Independent,203,Karnataka,Kudachi,S10,5
DR. JASMIN SALEEM ALASE,Independent,186,Karnataka,Kudachi,S10,5
